regiao,cod_uf,nome_uf,cod_mun_completo,cod_mun_ibge,nome_mun,qtd_pessoas_tresref,porc_pessoas_tresref,total_adultos_acompanhados,ano
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,268.0,0.864516129032258,310.0,2015
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,420.0,0.8015267175572519,524.0,2016
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,418.0,0.7886792452830189,530.0,2017
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,561.0,0.8060344827586207,696.0,2018
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,248.0,0.7359050445103857,337.0,2019
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,180.0,0.7725321888412017,233.0,2020
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,14.0,0.06930693069306931,202.0,2021
SUDESTE,33,RJ,3300159,330015,Aperibé,1.0,0.004273504273504274,234.0,2021
SUDESTE,33,RJ,3300209,330020,Araruama,0.0,0.0,17.0,2017
SUDESTE,33,RJ,3300209,330020,Araruama,0.0,0.0,622.0,2018
SUDESTE,33,RJ,3300209,330020,Araruama,0.0,0.0,242.0,2019
SUDESTE,33,RJ,3300209,330020,Araruama,0.0,0.0,136.0,2020
SUDESTE,33,RJ,3300209,330020,Araruama,21.0,0.11731843575418995,179.0,2021
,,,3300225,330022,Areal,,,,
SUDESTE,33,RJ,3300233,330023,Armação dos Búzios,0.0,0.0,3.0,2015
SUDESTE,33,RJ,3300233,330023,Armação dos Búzios,0.0,0.0,14.0,2016
SUDESTE,33,RJ,3300233,330023,Armação dos Búzios,0.0,0.0,3.0,2017
SUDESTE,33,RJ,3300233,330023,Armação dos Búzios,0.0,0.0,20.0,2019
SUDESTE,33,RJ,3300233,330023,Armação dos Búzios,0.0,0.0,26.0,2020
SUDESTE,33,RJ,3300233,330023,Armação dos Búzios,0.0,0.0,16.0,2021
SUDESTE,33,RJ,3300258,330025,Arraial do Cabo,0.0,0.0,1.0,2020
SUDESTE,33,RJ,3300258,330025,Arraial do Cabo,0.0,0.0,219.0,2021
,,,3300308,330030,Barra do Piraí,,,,
SUDESTE,33,RJ,3300407,330040,Barra Mansa,3.0,1.0,3.0,2018
SUDESTE,33,RJ,3300407,330040,Barra Mansa,8.0,0.36363636363636365,22.0,2019
SUDESTE,33,RJ,3300407,330040,Barra Mansa,9.0,0.23076923076923078,39.0,2020
SUDESTE,33,RJ,3300407,330040,Barra Mansa,548.0,0.1096,5000.0,2021
SUDESTE,33,RJ,3300456,330045,Belford Roxo,108.0,0.8181818181818182,132.0,2019
SUDESTE,33,RJ,3300456,330045,Belford Roxo,62.0,0.543859649122807,114.0,2020
,,,3300506,330050,Bom Jardim,,,,
SUDESTE,33,RJ,3300605,330060,Bom Jesus do Itabapoana,0.0,0.0,97.0,2016
SUDESTE,33,RJ,3300605,330060,Bom Jesus do Itabapoana,2.0,0.02247191011235955,89.0,2017
SUDESTE,33,RJ,3300605,330060,Bom Jesus do Itabapoana,0.0,0.0,97.0,2018
SUDESTE,33,RJ,3300605,330060,Bom Jesus do Itabapoana,0.0,0.0,68.0,2019
SUDESTE,33,RJ,3300605,330060,Bom Jesus do Itabapoana,0.0,0.0,3.0,2020
SUDESTE,33,RJ,3300704,330070,Cabo Frio,5.0,0.8333333333333334,6.0,2018
SUDESTE,33,RJ,3300704,330070,Cabo Frio,88.0,0.7333333333333333,120.0,2019
SUDESTE,33,RJ,3300704,330070,Cabo Frio,19.0,1.0,19.0,2020
SUDESTE,33,RJ,3300704,330070,Cabo Frio,149.0,0.6651785714285714,224.0,2021
SUDESTE,33,RJ,3300803,330080,Cachoeiras de Macacu,0.0,0.0,32.0,2016
SUDESTE,33,RJ,3300803,330080,Cachoeiras de Macacu,0.0,0.0,28.0,2017
SUDESTE,33,RJ,3300803,330080,Cachoeiras de Macacu,0.0,0.0,23.0,2018
,,,3300902,330090,Cambuci,,,,
SUDESTE,33,RJ,3301009,330100,Campos dos Goytacazes,56.0,0.6086956521739131,92.0,2019
SUDESTE,33,RJ,3301009,330100,Campos dos Goytacazes,0.0,0.0,12.0,2020
SUDESTE,33,RJ,3301009,330100,Campos dos Goytacazes,0.0,0.0,24.0,2021
SUDESTE,33,RJ,3301108,330110,Cantagalo,0.0,0.0,1.0,2016
SUDESTE,33,RJ,3301108,330110,Cantagalo,1.0,1.0,1.0,2019
SUDESTE,33,RJ,3300936,330093,Carapebus,2.0,1.0,2.0,2017
SUDESTE,33,RJ,3300936,330093,Carapebus,0.0,0.0,97.0,2018
SUDESTE,33,RJ,3301157,330115,Cardoso Moreira,0.0,0.0,1.0,2016
SUDESTE,33,RJ,3301207,330120,Carmo,76.0,1.0,76.0,2015
SUDESTE,33,RJ,3301207,330120,Carmo,43.0,0.9772727272727273,44.0,2016
SUDESTE,33,RJ,3301207,330120,Carmo,95.0,0.8050847457627118,118.0,2017
SUDESTE,33,RJ,3301207,330120,Carmo,69.0,0.7340425531914894,94.0,2018
SUDESTE,33,RJ,3301207,330120,Carmo,89.0,0.664179104477612,134.0,2019
SUDESTE,33,RJ,3301207,330120,Carmo,48.0,0.7058823529411765,68.0,2020
SUDESTE,33,RJ,3301207,330120,Carmo,92.0,0.7301587301587301,126.0,2021
SUDESTE,33,RJ,3301306,330130,Casimiro de Abreu,4.0,0.8,5.0,2019
SUDESTE,33,RJ,3300951,330095,Comendador Levy Gasparian,61.0,0.8356164383561644,73.0,2021
SUDESTE,33,RJ,3301405,330140,Conceição de Macabu,4.0,1.0,4.0,2019
SUDESTE,33,RJ,3301504,330150,Cordeiro,0.0,0.0,7.0,2019
,,,3301603,330160,Duas Barras,,,,
SUDESTE,33,RJ,3301702,330170,Duque de Caxias,913.0,0.8166368515205724,1118.0,2015
SUDESTE,33,RJ,3301702,330170,Duque de Caxias,527.0,0.7693430656934307,685.0,2016
SUDESTE,33,RJ,3301702,330170,Duque de Caxias,252.0,0.7039106145251397,358.0,2017
SUDESTE,33,RJ,3301702,330170,Duque de Caxias,276.0,0.7479674796747967,369.0,2018
SUDESTE,33,RJ,3301702,330170,Duque de Caxias,99.0,0.9339622641509434,106.0,2019
SUDESTE,33,RJ,3301702,330170,Duque de Caxias,11.0,0.3793103448275862,29.0,2020
SUDESTE,33,RJ,3301702,330170,Duque de Caxias,59.0,0.8194444444444444,72.0,2021
