Região,Código UF,UF,cod_mun_completo,cod_mun_ibge,nome_mun,Baixo Peso Quantidade,Baixo Peso %,Adequado Quantidade,Adequado %,Sobrepeso Quantidade,Sobrepeso %,Obesidade Grau I Quantidade,Obesidade Grau I %,Obesidade Grau II Quantidade,Obesidade Grau II %,Obesidade Grau III Quantidade,Obesidade Grau III %,Total,ano
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,62.0,2.63,941.0,39.91,773.0,32.78,367.0,15.56,146.0,6.19,69.0,2.93,2358.0,2010
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,111.0,2.32,1676.0,34.97,1622.0,33.84,877.0,18.3,341.0,7.11,166.0,3.46,4793.0,2011
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,103.0,2.3,1586.0,35.49,1467.0,32.83,818.0,18.3,339.0,7.59,156.0,3.49,4469.0,2012
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,139.0,2.81,1660.0,33.6,1667.0,33.74,941.0,19.05,339.0,6.86,194.0,3.93,4940.0,2013
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,213.0,2.85,2484.0,33.27,2397.0,32.11,1474.0,19.74,598.0,8.01,300.0,4.02,7466.0,2014
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,241.0,2.76,2840.0,32.55,2875.0,32.96,1765.0,20.23,678.0,7.77,325.0,3.73,8724.0,2015
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,168.0,2.98,1953.0,34.65,1817.0,32.24,1056.0,18.74,429.0,7.61,213.0,3.78,5636.0,2016
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,142.0,2.35,2024.0,33.45,2003.0,33.1,1167.0,19.29,494.0,8.16,221.0,3.65,6051.0,2017
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,154.0,2.45,2028.0,32.31,2086.0,33.23,1239.0,19.74,520.0,8.28,250.0,3.98,6277.0,2018
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,169.0,2.91,1837.0,31.67,1826.0,31.48,1198.0,20.66,491.0,8.47,279.0,4.81,5800.0,2019
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,125.0,1.98,1817.0,28.72,2068.0,32.69,1405.0,22.21,588.0,9.29,323.0,5.11,6326.0,2020
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,135.0,2.16,1625.0,25.98,2005.0,32.06,1435.0,22.95,660.0,10.55,394.0,6.3,6254.0,2021
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,137.0,1.99,1678.0,24.41,2221.0,32.31,1605.0,23.35,775.0,11.28,457.0,6.65,6873.0,2022
SUDESTE,33,RJ,3300100,330010,Angra dos Reis,152.0,1.88,1916.0,23.69,2653.0,32.8,1968.0,24.33,852.0,10.53,548.0,6.77,8089.0,2023
SUDESTE,33,RJ,3300159,330015,Aperibé,18.0,3.7,222.0,45.59,134.0,27.52,77.0,15.81,25.0,5.13,11.0,2.26,487.0,2010
SUDESTE,33,RJ,3300159,330015,Aperibé,26.0,6.24,180.0,43.17,123.0,29.5,51.0,12.23,25.0,,12.0,2.88,417.0,2011
SUDESTE,33,RJ,3300159,330015,Aperibé,20.0,3.51,217.0,38.07,168.0,29.47,93.0,16.32,47.0,8.25,25.0,4.39,570.0,2012
SUDESTE,33,RJ,3300159,330015,Aperibé,23.0,3.12,239.0,32.43,232.0,31.48,139.0,18.86,67.0,9.09,37.0,5.02,737.0,2013
SUDESTE,33,RJ,3300159,330015,Aperibé,25.0,3.44,246.0,33.84,231.0,31.77,119.0,16.37,69.0,9.49,37.0,5.09,727.0,2014
SUDESTE,33,RJ,3300159,330015,Aperibé,19.0,2.77,219.0,31.97,214.0,31.24,128.0,18.69,72.0,10.51,33.0,4.82,685.0,2015
SUDESTE,33,RJ,3300159,330015,Aperibé,18.0,2.21,260.0,31.9,270.0,33.13,149.0,18.28,67.0,8.22,51.0,6.26,815.0,2016
SUDESTE,33,RJ,3300159,330015,Aperibé,20.0,2.01,289.0,29.1,342.0,34.44,195.0,19.64,94.0,9.47,53.0,5.34,993.0,2017
SUDESTE,33,RJ,3300159,330015,Aperibé,16.0,1.65,272.0,28.13,313.0,32.37,204.0,21.1,95.0,9.82,67.0,6.93,967.0,2018
SUDESTE,33,RJ,3300159,330015,Aperibé,13.0,1.87,203.0,29.21,218.0,31.37,157.0,22.59,68.0,9.78,36.0,5.18,695.0,2019
SUDESTE,33,RJ,3300159,330015,Aperibé,11.0,2.01,138.0,25.18,192.0,35.04,119.0,21.72,57.0,10.4,31.0,5.66,548.0,2020
SUDESTE,33,RJ,3300159,330015,Aperibé,34.0,1.9,491.0,27.41,640.0,35.73,353.0,19.71,148.0,8.26,125.0,6.98,1791.0,2021
SUDESTE,33,RJ,3300159,330015,Aperibé,40.0,2.4,464.0,27.82,547.0,32.79,358.0,21.46,154.0,9.23,105.0,6.29,1668.0,2022
SUDESTE,33,RJ,3300159,330015,Aperibé,20.0,1.45,391.0,28.37,459.0,33.31,298.0,21.63,115.0,8.35,95.0,6.89,1378.0,2023
SUDESTE,33,RJ,3300209,330020,Araruama,115.0,5.29,906.0,41.67,637.0,29.3,337.0,15.5,125.0,5.75,54.0,2.48,2174.0,2010
SUDESTE,33,RJ,3300209,330020,Araruama,103.0,4.07,988.0,39.07,798.0,31.55,422.0,16.69,145.0,5.73,73.0,2.89,2529.0,2011
SUDESTE,33,RJ,3300209,330020,Araruama,100.0,4.04,932.0,37.67,761.0,30.76,429.0,17.34,177.0,7.15,75.0,3.03,2474.0,2012
SUDESTE,33,RJ,3300209,330020,Araruama,146.0,2.91,1719.0,34.32,1615.0,32.24,982.0,19.6,356.0,7.11,191.0,3.81,5009.0,2013
SUDESTE,33,RJ,3300209,330020,Araruama,130.0,3.06,1390.0,32.71,1395.0,32.82,818.0,19.25,340.0,,177.0,4.16,4250.0,2014
SUDESTE,33,RJ,3300209,330020,Araruama,110.0,2.89,1225.0,32.16,1247.0,32.74,765.0,20.08,315.0,8.27,147.0,3.86,3809.0,2015
SUDESTE,33,RJ,3300209,330020,Araruama,89.0,3.76,794.0,33.5,738.0,31.14,462.0,19.49,178.0,7.51,109.0,4.6,2370.0,2016
SUDESTE,33,RJ,3300209,330020,Araruama,91.0,2.69,1132.0,33.46,1035.0,30.59,699.0,20.66,287.0,8.48,139.0,4.11,3383.0,2017
SUDESTE,33,RJ,3300209,330020,Araruama,96.0,2.43,1216.0,30.72,1285.0,32.47,836.0,21.12,352.0,8.89,173.0,4.37,3958.0,2018
SUDESTE,33,RJ,3300209,330020,Araruama,121.0,3.31,1155.0,31.59,1110.0,30.36,764.0,20.9,336.0,9.19,170.0,4.65,3656.0,2019
SUDESTE,33,RJ,3300209,330020,Araruama,47.0,3.25,391.0,27.04,413.0,28.56,322.0,22.27,178.0,12.31,95.0,6.57,1446.0,2020
SUDESTE,33,RJ,3300209,330020,Araruama,45.0,2.25,518.0,25.89,677.0,33.83,445.0,22.24,212.0,10.59,104.0,5.2,2001.0,2021
SUDESTE,33,RJ,3300209,330020,Araruama,66.0,2.53,657.0,25.2,1001.0,38.4,522.0,20.02,237.0,9.09,124.0,4.76,2607.0,2022
SUDESTE,33,RJ,3300209,330020,Araruama,40.0,2.46,415.0,25.48,547.0,33.58,358.0,21.98,174.0,10.68,95.0,5.83,1629.0,2023
SUDESTE,33,RJ,3300225,330022,Areal,1.0,,6.0,,9.0,,7.0,,2.0,,0.0,,25.0,2010
SUDESTE,33,RJ,3300225,330022,Areal,0.0,,2.0,,2.0,,0.0,,1.0,,0.0,,5.0,2011
SUDESTE,33,RJ,3300225,330022,Areal,1.0,16.67,2.0,33.33,2.0,33.33,0.0,,1.0,16.67,0.0,,6.0,2012
SUDESTE,33,RJ,3300225,330022,Areal,0.0,,7.0,18.42,13.0,34.21,7.0,18.42,5.0,13.16,6.0,15.79,38.0,2013
SUDESTE,33,RJ,3300225,330022,Areal,0.0,,4.0,19.05,10.0,47.62,4.0,19.05,1.0,4.76,2.0,9.52,21.0,2014
SUDESTE,33,RJ,3300225,330022,Areal,0.0,,9.0,24.32,13.0,35.14,10.0,27.03,2.0,5.41,3.0,8.11,37.0,2015
