cod_mun_completo,cod_mun_ibge,nome_mun,cadunico_tot_pes,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_pes_pob,cadunico_tot_pes_ext_pob,cadunico_tot_pes_pob_e_ext_pob,cadunico_tot_fam,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_fam_ext_pob,cadunico_tot_fam_pob_e_ext_pob,mes,ano
3300100,330010,Angra dos Reis,44222.0,42615.0,13134.0,21549.0,34683.0,12919,12187.0,3400.0,6383.0,9783.0,12,2012
3300100,330010,Angra dos Reis,42727.0,41257.0,13051.0,20831.0,33882.0,12356,11692.0,3364.0,6098.0,9462.0,11,2012
3300100,330010,Angra dos Reis,41559.0,40161.0,13002.0,19991.0,32993.0,11950,11320.0,3343.0,5822.0,9165.0,10,2012
3300100,330010,Angra dos Reis,40641.0,39327.0,13189.0,19285.0,32474.0,11599,11007.0,3384.0,5574.0,8958.0,09,2012
3300100,330010,Angra dos Reis,39324.0,38103.0,13156.0,18384.0,31540.0,11110,10562.0,3379.0,5239.0,8618.0,08,2012
3300100,330010,Angra dos Reis,38695.0,37561.0,13195.0,17918.0,31113.0,10863,10356.0,3378.0,5075.0,8453.0,07,2012
3300100,330010,Angra dos Reis,36247.0,35192.0,12589.0,16643.0,29232.0,10594,10104.0,3360.0,4898.0,8258.0,06,2012
3300100,330010,Angra dos Reis,37063.0,36042.0,13033.0,16921.0,29954.0,10291,9841.0,3314.0,4736.0,8050.0,05,2012
3300100,330010,Angra dos Reis,37063.0,36042.0,13033.0,16921.0,29954.0,10291,9841.0,3314.0,4736.0,8050.0,04,2012
3300100,330010,Angra dos Reis,,,,,,9837,,,,,03,2012
3300100,330010,Angra dos Reis,,,,,,9659,,,,,02,2012
3300100,330010,Angra dos Reis,52078.0,49741.0,12961.0,27235.0,40196.0,16028,14932.0,3444.0,8505.0,11949.0,12,2013
3300100,330010,Angra dos Reis,50968.0,48877.0,13165.0,26536.0,39701.0,15586,14606.0,3473.0,8273.0,11746.0,11,2013
3300100,330010,Angra dos Reis,49469.0,47516.0,12940.0,25586.0,38526.0,15179,14261.0,3422.0,8035.0,11457.0,10,2013
3300100,330010,Angra dos Reis,48793.0,46865.0,12869.0,25093.0,37962.0,14933,14028.0,3397.0,7858.0,11255.0,09,2013
3300100,330010,Angra dos Reis,48169.0,46276.0,12856.0,24482.0,37338.0,14693,13808.0,3386.0,7647.0,11033.0,08,2013
3300100,330010,Angra dos Reis,47676.0,45848.0,12931.0,24016.0,36947.0,14448,13592.0,3377.0,7455.0,10832.0,07,2013
3300100,330010,Angra dos Reis,47467.0,45644.0,13009.0,23767.0,36776.0,14336,13486.0,3387.0,7350.0,10737.0,06,2013
3300100,330010,Angra dos Reis,47289.0,45480.0,13117.0,23477.0,36594.0,14225,13387.0,3413.0,7219.0,10632.0,05,2013
3300100,330010,Angra dos Reis,47166.0,45375.0,13200.0,23358.0,36558.0,14156,13328.0,3430.0,7162.0,10592.0,04,2013
3300100,330010,Angra dos Reis,45759.0,44253.0,13142.0,22435.0,35577.0,13490,12784.0,3394.0,6732.0,10126.0,03,2013
3300100,330010,Angra dos Reis,45347.0,43888.0,13240.0,22086.0,35326.0,13305,12618.0,3424.0,6576.0,10000.0,02,2013
3300100,330010,Angra dos Reis,44498.0,43164.0,13172.0,21715.0,34887.0,13015,12375.0,3408.0,6440.0,9848.0,01,2013
3300100,330010,Angra dos Reis,61696.0,57756.0,13070.0,32815.0,45885.0,19908,18007.0,3655.0,10549.0,14204.0,12,2014
3300100,330010,Angra dos Reis,61152.0,57350.0,12956.0,32753.0,45709.0,19692,17862.0,3617.0,10518.0,14135.0,11,2014
3300100,330010,Angra dos Reis,60470.0,56882.0,12768.0,32824.0,45592.0,19437,17706.0,3540.0,10545.0,14085.0,10,2014
3300100,330010,Angra dos Reis,59733.0,56352.0,12559.0,33009.0,45568.0,19186,17553.0,3475.0,10600.0,14075.0,09,2014
3300100,330010,Angra dos Reis,59068.0,55880.0,12514.0,32836.0,45350.0,18897,17346.0,3444.0,10518.0,13962.0,08,2014
3300100,330010,Angra dos Reis,57902.0,54922.0,12399.0,32352.0,44751.0,18433,16985.0,3392.0,10331.0,13723.0,07,2014
3300100,330010,Angra dos Reis,56881.0,54148.0,12400.0,31943.0,44343.0,18024,16689.0,3390.0,10156.0,13546.0,06,2014
3300100,330010,Angra dos Reis,55829.0,53307.0,12415.0,31386.0,43801.0,17560,16338.0,3365.0,9940.0,13305.0,05,2014
3300100,330010,Angra dos Reis,55121.0,52715.0,12418.0,29743.0,42161.0,17265,16091.0,3340.0,9429.0,12769.0,04,2014
3300100,330010,Angra dos Reis,54341.0,52022.0,12546.0,29094.0,41640.0,16950,15826.0,3364.0,9201.0,12565.0,03,2014
3300100,330010,Angra dos Reis,53131.0,50958.0,12615.0,28312.0,40927.0,16469,15415.0,3375.0,8889.0,12264.0,02,2014
3300100,330010,Angra dos Reis,52575.0,50476.0,12890.0,27613.0,40503.0,16227,15207.0,3436.0,8639.0,12075.0,01,2014
3300100,330010,Angra dos Reis,61116.0,56411.0,13074.0,28902.0,41976.0,20156,17792.0,3825.0,9321.0,13146.0,12,2015
3300100,330010,Angra dos Reis,60835.0,56284.0,12844.0,29178.0,42022.0,20036,17753.0,3745.0,9424.0,13169.0,11,2015
3300100,330010,Angra dos Reis,60696.0,56279.0,12539.0,29655.0,42194.0,19942,17723.0,3630.0,9578.0,13208.0,10,2015
3300100,330010,Angra dos Reis,60471.0,56236.0,12186.0,30425.0,42611.0,19858,17728.0,3508.0,9842.0,13350.0,09,2015
3300100,330010,Angra dos Reis,60216.0,56177.0,11919.0,30971.0,42890.0,19751,17706.0,3413.0,10032.0,13445.0,08,2015
3300100,330010,Angra dos Reis,59943.0,56044.0,11787.0,31382.0,43169.0,19641,17664.0,3367.0,10163.0,13530.0,07,2015
3300100,330010,Angra dos Reis,61717.0,57926.0,12437.0,32551.0,44988.0,20140,18217.0,3537.0,10516.0,14053.0,06,2015
3300100,330010,Angra dos Reis,61312.0,57651.0,12273.0,33018.0,45291.0,19963,18109.0,3473.0,10633.0,14106.0,05,2015
3300100,330010,Angra dos Reis,60879.0,57296.0,12248.0,32853.0,45101.0,19791,17977.0,3457.0,10581.0,14038.0,04,2015
3300100,330010,Angra dos Reis,60507.0,56958.0,12249.0,32665.0,44914.0,19641,17847.0,3444.0,10510.0,13954.0,03,2015
3300100,330010,Angra dos Reis,60065.0,56561.0,12189.0,32511.0,44700.0,19465,17707.0,3414.0,10450.0,13864.0,02,2015
3300100,330010,Angra dos Reis,59652.0,56194.0,12146.0,32256.0,44402.0,19307,17577.0,3392.0,10371.0,13763.0,01,2015
3300100,330010,Angra dos Reis,59562.0,54307.0,13043.0,27391.0,40434.0,19673,17080.0,3886.0,8801.0,12687.0,12,2016
3300100,330010,Angra dos Reis,62482.0,57005.0,13590.0,28584.0,42174.0,20705,17985.0,4040.0,9209.0,13249.0,11,2016
3300100,330010,Angra dos Reis,62675.0,57242.0,13619.0,28851.0,42470.0,20773,18068.0,4043.0,9300.0,13343.0,10,2016
3300100,330010,Angra dos Reis,62454.0,57172.0,13497.0,28981.0,42478.0,20664,18026.0,3998.0,9326.0,13324.0,09,2016
3300100,330010,Angra dos Reis,62101.0,58076.0,13295.0,29092.0,42387.0,20521,18408.0,3927.0,9356.0,13283.0,08,2016
3300100,330010,Angra dos Reis,61915.0,57927.0,13609.0,30649.0,44258.0,20435,18347.0,3973.0,9798.0,13771.0,07,2016
3300100,330010,Angra dos Reis,61499.0,57603.0,13489.0,30774.0,44263.0,20285,18244.0,3927.0,9847.0,13774.0,06,2016
3300100,330010,Angra dos Reis,61015.0,57182.0,12942.0,29290.0,42232.0,20102,18094.0,3787.0,9420.0,13207.0,05,2016
3300100,330010,Angra dos Reis,60795.0,56974.0,12942.0,29077.0,42019.0,20018,18021.0,3782.0,9347.0,13129.0,04,2016
3300100,330010,Angra dos Reis,60561.0,56782.0,13055.0,28735.0,41790.0,19917,17940.0,3817.0,9219.0,13036.0,03,2016
3300100,330010,Angra dos Reis,60282.0,56555.0,13003.0,28499.0,41502.0,19819,17864.0,3806.0,9135.0,12941.0,02,2016
3300100,330010,Angra dos Reis,60039.0,56353.0,12879.0,28399.0,41278.0,19739,17801.0,3770.0,9115.0,12885.0,01,2016
3300100,330010,Angra dos Reis,57417.0,52673.0,11591.0,27761.0,39352.0,19456,16763.0,3519.0,8823.0,12342.0,12,2017
3300100,330010,Angra dos Reis,56818.0,52356.0,11581.0,27644.0,39225.0,19135,16630.0,3507.0,8762.0,12269.0,11,2017
3300100,330010,Angra dos Reis,56188.0,52014.0,11533.0,27647.0,39180.0,18795,16463.0,3478.0,8721.0,12199.0,10,2017
3300100,330010,Angra dos Reis,55167.0,51271.0,11395.0,27583.0,38978.0,18334,16149.0,3432.0,8640.0,12072.0,09,2017
3300100,330010,Angra dos Reis,63873.0,59112.0,13273.0,30412.0,43685.0,21310,18733.0,3973.0,9639.0,13612.0,08,2017
3300100,330010,Angra dos Reis,62924.0,58572.0,13152.0,30672.0,43824.0,20883,18517.0,3928.0,9680.0,13608.0,07,2017
3300100,330010,Angra dos Reis,62160.0,58181.0,13147.0,30944.0,44091.0,20486,18315.0,3910.0,9705.0,13615.0,06,2017
3300100,330010,Angra dos Reis,61554.0,57761.0,13279.0,30561.0,43840.0,20246,18181.0,3945.0,9586.0,13531.0,05,2017
3300100,330010,Angra dos Reis,61172.0,57453.0,13317.0,30139.0,43456.0,20024,18011.0,3954.0,9398.0,13352.0,04,2017
3300100,330010,Angra dos Reis,59482.0,55810.0,13342.0,28498.0,41840.0,19679,17702.0,3956.0,9106.0,13062.0,03,2017
3300100,330010,Angra dos Reis,59504.0,55854.0,13367.0,28582.0,41949.0,19669,17706.0,3958.0,9128.0,13086.0,02,2017
3300100,330010,Angra dos Reis,59572.0,55933.0,13377.0,28652.0,42029.0,19683,17727.0,3955.0,9153.0,13108.0,01,2017
3300100,330010,Angra dos Reis,52452.0,46814.0,8971.0,25945.0,34916.0,18666,15430.0,2817.0,8707.0,11524.0,12,2018
3300100,330010,Angra dos Reis,55910.0,50064.0,9910.0,27162.0,37072.0,19766,16438.0,3121.0,9056.0,12177.0,11,2018
3300100,330010,Angra dos Reis,55513.0,49887.0,9923.0,27178.0,37101.0,19477,16278.0,3115.0,8965.0,12080.0,10,2018
3300100,330010,Angra dos Reis,54476.0,49161.0,10125.0,27131.0,37256.0,18942,15923.0,3158.0,8842.0,12000.0,09,2018
3300100,330010,Angra dos Reis,53789.0,48696.0,10137.0,26873.0,37010.0,18596,15709.0,3148.0,8715.0,11863.0,08,2018
3300100,330010,Angra dos Reis,57493.0,52062.0,10962.0,27573.0,38535.0,19855,16800.0,3392.0,8937.0,12329.0,07,2018
3300100,330010,Angra dos Reis,57210.0,51916.0,10688.0,27251.0,37939.0,19705,16713.0,3310.0,8810.0,12120.0,06,2018
3300100,330010,Angra dos Reis,56491.0,51346.0,10633.0,27020.0,37653.0,19408,16494.0,3288.0,8705.0,11993.0,05,2018
3300100,330010,Angra dos Reis,55717.0,50727.0,10577.0,26678.0,37255.0,19083,16253.0,3264.0,8558.0,11822.0,04,2018
3300100,330010,Angra dos Reis,55148.0,50361.0,10577.0,26590.0,37167.0,18813,16081.0,3248.0,8481.0,11729.0,03,2018
3300100,330010,Angra dos Reis,57909.0,53094.0,11592.0,27735.0,39327.0,19726,16959.0,3521.0,8867.0,12388.0,02,2018
3300100,330010,Angra dos Reis,57620.0,52890.0,11613.0,27666.0,39279.0,19598,16881.0,3531.0,8832.0,12363.0,01,2018
3300100,330010,Angra dos Reis,57673.0,50400.0,7954.0,30482.0,38436.0,21337,17124.0,2540.0,10602.0,13142.0,12,2019
3300100,330010,Angra dos Reis,56918.0,49873.0,7992.0,30071.0,38063.0,20988,16908.0,2547.0,10427.0,12974.0,11,2019
3300100,330010,Angra dos Reis,56290.0,49378.0,8004.0,29691.0,37695.0,20723,16713.0,2545.0,10280.0,12825.0,10,2019
3300100,330010,Angra dos Reis,55285.0,48659.0,7935.0,29240.0,37175.0,20275,16405.0,2519.0,10063.0,12582.0,09,2019
3300100,330010,Angra dos Reis,57937.0,51097.0,8545.0,29804.0,38349.0,21101,17153.0,2717.0,10232.0,12949.0,08,2019
3300100,330010,Angra dos Reis,56859.0,50295.0,8540.0,29383.0,37923.0,20638,16849.0,2710.0,10056.0,12766.0,07,2019
3300100,330010,Angra dos Reis,56200.0,49831.0,8567.0,29012.0,37579.0,20331,16648.0,2715.0,9892.0,12607.0,06,2019
3300100,330010,Angra dos Reis,55120.0,48951.0,8517.0,28329.0,36846.0,19878,16309.0,2694.0,9623.0,12317.0,05,2019
3300100,330010,Angra dos Reis,54258.0,48260.0,8501.0,27751.0,36252.0,19512,16038.0,2681.0,9399.0,12080.0,04,2019
3300100,330010,Angra dos Reis,54826.0,48836.0,8902.0,27619.0,36521.0,19761,16269.0,2818.0,9384.0,12202.0,03,2019
3300100,330010,Angra dos Reis,54223.0,48388.0,8938.0,27322.0,36260.0,19472,16060.0,2813.0,9229.0,12042.0,02,2019
3300100,330010,Angra dos Reis,53466.0,47833.0,9048.0,26744.0,35792.0,19123,15817.0,2843.0,8993.0,11836.0,01,2019
3300100,330010,Angra dos Reis,59432.0,52756.0,7193.0,33886.0,41079.0,22694,18666.0,2326.0,12366.0,14692.0,12,2020
3300100,330010,Angra dos Reis,58721.0,52097.0,7270.0,33259.0,40529.0,22338,18344.0,2335.0,12071.0,14406.0,11,2020
3300100,330010,Angra dos Reis,60190.0,53180.0,7620.0,33314.0,40934.0,22824,18661.0,2456.0,12049.0,14505.0,10,2020
3300100,330010,Angra dos Reis,59269.0,52344.0,7551.0,32752.0,40303.0,22350,18238.0,2429.0,11724.0,14153.0,09,2020
3300100,330010,Angra dos Reis,58618.0,51740.0,7579.0,32191.0,39770.0,21977,17892.0,2429.0,11416.0,13845.0,08,2020
3300100,330010,Angra dos Reis,57960.0,51088.0,7537.0,31667.0,39204.0,21632,17569.0,2409.0,11147.0,13556.0,07,2020
3300100,330010,Angra dos Reis,57309.0,50463.0,7454.0,31252.0,38706.0,21333,17286.0,2377.0,10940.0,13317.0,06,2020
3300100,330010,Angra dos Reis,56818.0,50003.0,7454.0,30873.0,38327.0,21112,17082.0,2377.0,10762.0,13139.0,05,2020
3300100,330010,Angra dos Reis,56570.0,49790.0,7486.0,30709.0,38195.0,21001,16992.0,2383.0,10697.0,13080.0,04,2020
3300100,330010,Angra dos Reis,56388.0,49667.0,7505.0,30642.0,38147.0,20910,16936.0,2383.0,10664.0,13047.0,03,2020
3300100,330010,Angra dos Reis,55789.0,49242.0,7497.0,30370.0,37867.0,20637,16750.0,2382.0,10547.0,12929.0,02,2020
3300100,330010,Angra dos Reis,57978.0,50984.0,7916.0,30615.0,38531.0,21476,17375.0,2533.0,10658.0,13191.0,01,2020
3300100,330010,Angra dos Reis,66705.0,59488.0,6742.0,40295.0,47037.0,26882,22389.0,2290.0,15752.0,18042.0,12,2021
